"lemma","discriminator","is_official","supertype","frame","distribution","pronominal_class","subject","sememe","examples","synonyms","etymology","etymological_notes","definition_type","qtq_definition","qtq_notes","qtq_gloss","eng_definition","eng_notes","eng_gloss","cmn_definition","cmn_notes","cmn_gloss","spa_definition","spa_notes","spa_gloss","fra_definition","fra_notes","fra_gloss","por_definition","por_notes","por_gloss","rus_definition","rus_notes","rus_gloss","deu_definition","deu_notes","deu_gloss","jpn_definition","jpn_notes","jpn_gloss","tgl_definition","tgl_notes","tgl_gloss","tur_definition","tur_notes","tur_gloss","pol_definition","pol_notes","pol_gloss","nld_definition","nld_notes","nld_gloss","bul_definition","bul_notes","bul_gloss","isl_definition","isl_notes","isl_gloss","lou_definition","lou_notes","lou_gloss","epo_definition","epo_notes","epo_gloss","tok_definition","tok_notes","tok_gloss","tlh_definition","tlh_notes","tlh_gloss","ithkuil-iv_definition","ithkuil-iv_notes","ithkuil-iv_gloss","votgil_definition","votgil_notes","votgil_gloss","c_definition","c_gloss","c_notes","jbo_definition","jbo_gloss","jbo_notes","langdata","qpv_definition","qpv_gloss","qpv_notes"
"chaoboq",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is a traffic jam.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'ZsAjnePk5', 'author': 'jiqci', 'date': '2024-06-15T20:11:35.440Z', 'score': 0})}",,,
"chaobıa",1,"False",,,,,,"cutopa","[]",,,,"informal",,,,"▯ has motion/car/travel sickness.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'ylZSNZrqn', 'author': 'Ilmen', 'date': '2019-02-03T14:20:06.000Z', 'score': 0})}",,,
"chaocaq",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ drives vehicle ▯.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'tsTcK1FYL', 'author': 'Laqme', 'date': '2019-01-30T22:55:47.000Z', 'score': 1})}",,,
"chaocaqche",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is a driver / pilot (as an occupation).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'weQPu8Kmu', 'author': 'jiqci', 'date': '2024-02-04T20:31:32.094Z', 'score': 0})}",,,
"chaoche",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ chauffeurs ▯",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'qc7IMlIvu', 'author': 'seaqtaq', 'date': '2019-12-27T16:32:30.511Z', 'score': 0})}",,,
"chaochoaq",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is a passenger.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': '7vVJ828jS', 'author': 'Laqme', 'date': '2020-03-01T23:14:43.456Z', 'score': 0})}",,,
"chaochuao",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is a porthole",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'VvX3Yhzyt', 'author': 'seaqtaq', 'date': '2025-04-05T05:43:51.910Z', 'score': 0})}",,,
"chaochıu",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is the license plate number of vehicle ▯.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'FA61MXRqt', 'author': 'Laqme', 'date': '2025-08-05T13:24:26.602Z', 'score': 0})}",,,
"chaochıutoq",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is a license plate.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': '1ijuB9Vf_', 'author': 'Laqme', 'date': '2025-08-05T13:24:41.972Z', 'score': 0})}",,,
"chaocoa",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is a jet bridge.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'aQOEvUvpX', 'author': 'Laqme', 'date': '2025-06-02T15:41:00.390Z', 'score': 0})}",,,
"chaoduna",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is traffic.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'wtCJnApwV', 'author': 'lassc', 'date': '2025-03-16T00:39:39.752Z', 'score': 0})}",,,
"chaofa",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ drives/rides/goes to ▯ from ▯ by some vehicle.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'qjzPPjlA-', 'author': 'Laqme', 'date': '2020-03-01T23:14:06.970Z', 'score': 0})}",,,
"chaofase",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is a drive / a road trip.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'WMdEtOT09', 'author': 'Laqme', 'date': '2025-03-16T12:24:43.725Z', 'score': 0})}",,,
"chaohıu",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is a highway/motorway/freeway.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'wF5EJ88db', 'author': 'robintown', 'date': '2023-11-20T02:50:02.872Z', 'score': 1})}",,,
"chaoloaı",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is some traffic (a flow of vehicles).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'FOsJFjUUu', 'author': 'Laqme', 'date': '2021-09-02T12:09:29.267Z', 'score': 0})}",,,
"chaoloaıjeqduoıche",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is a traffic mime.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'wvkr8QnxY', 'author': 'Ilmen', 'date': '2026-02-03T10:32:03.522Z', 'score': 0})}",,,
"chaolıo",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is the port(side) of a vehicle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'sbg7W8YnC', 'author': 'seaqtaq', 'date': '2025-04-05T05:30:40.110Z', 'score': 0})}",,,
"chaonıe",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is aboard ▯.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'sfIi9BxJg', 'author': 'Machy', 'date': '2022-05-14T16:13:45.866Z', 'score': 0})}",,,
"chaoshaq",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is the bow of a vehicle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'iq5g8NOc-', 'author': 'seaqtaq', 'date': '2025-04-05T05:30:49.223Z', 'score': 0})}",,,
"chaoshuo",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is a parking lot.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'avoYl28nk', 'author': 'uakci', 'date': '2022-07-31T13:20:32.328Z', 'score': 0})}",,,
"chaoshıqdao",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is car-smell; ▯ is the smell of a car/truck",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': '_0OelhPVT', 'author': 'seaqtaq', 'date': '2024-10-28T21:01:09.858Z', 'score': 0})}",,,
"chaosıaq",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is the starboard of a vehicle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': '-A8na6tKh', 'author': 'seaqtaq', 'date': '2025-04-05T05:30:28.523Z', 'score': 0})}",,,
"chaotubaq",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is a car horn.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': '1HONwz5nc', 'author': 'jiqci', 'date': '2023-11-18T18:22:08.607Z', 'score': 0})}",,,
"chaotıa",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is the stern of a vehicle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'e7Jyf81GG', 'author': 'seaqtaq', 'date': '2025-04-05T05:30:59.348Z', 'score': 0})}",,,
"chaotıeq",1,"True","predicate","c","d","maq","individual","calaqa","[]",,,,"informal",,,,"▯ is a road/street.",,"road",,,,,,,,,,,,,,,,,,,,,,,,,,,,"▯ to droga/ulica.",,,,,,,,,,,,,,,,,,"▯ li nasin pi ilo tawa.",,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'official:chaotıeq', 'author': 'official', 'date': '', 'score': 0}), 'tok': OrderedDict({'id': 'theVtsYie', 'author': 'nano', 'date': '2023-03-07T17:18:15.000Z', 'score': 0}), 'pol': OrderedDict({'id': 'hcUoWivlZK', 'author': 'jiqci', 'date': '2023-07-31T08:19:57.840Z', 'score': 0})}",,,
"chaotıeqhıu",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is a stream that forms on the side of a street when it's raining.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'KWYpME1u_', 'author': 'jiqci', 'date': '2023-03-14T23:05:34.317Z', 'score': 0})}",,,
"chaoze",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is a liquid fuel for use in vehicles (gasoline, diesel, jet fuel, etc.)",,"vehicle.fuel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'R-o5lM7xM', 'author': 'salarua', 'date': '2023-07-31T22:22:43.999Z', 'score': 0})}",,,
"chaq",1,"True","predicate","c","d","hoq","individual",,"[]",,,,"informal",,,,"▯ is a day.",,"day",,,,"▯ es un día",,"día",,,,,,,"▯ — день.",,,,,,"▯は日／一日",,,,,,"▯ gündür.",,,"▯ to dzień/doba (24 godziny).",,,,,,,,,,,,,,,,,,"▯ li tenpo suno",,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'official:chaq', 'author': 'official', 'date': '', 'score': 0}), 'jpn': OrderedDict({'id': 'D_3wlkqhc', 'author': 'Laqme', 'date': '2021-10-29T14:18:42.677Z', 'score': 0}), 'tok': OrderedDict({'id': 'iGCoYlgxe', 'author': 'el', 'date': '2022-07-10T03:18:40.098Z', 'score': 0}), 'spa': OrderedDict({'id': 'BlRSqz2qX', 'author': 'salarua', 'date': '2022-12-23T18:56:39.835Z', 'score': 0}), 'pol': OrderedDict({'id': '_ieNmGHvIo', 'author': 'jiqci', 'date': '2023-07-31T08:19:57.259Z', 'score': 0}), 'rus': OrderedDict({'id': 'umlvY8_ZZ', 'author': 'SuperSpaceNiM', 'date': '2024-08-11T17:59:05.053Z', 'score': 0}), 'tur': OrderedDict({'id': 'EkGCI5W2n', 'author': 'kazoo', 'date': '2024-11-24T09:21:10.890Z', 'score': 0})}",,,
"chaqbeogıu",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is the International Date Line.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'vxPRcphDr', 'author': 'jiqci', 'date': '2023-11-10T23:55:56.574Z', 'score': 0})}",,,
"chaqbıe",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is an afternoon.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'fTvB4cD7H', 'author': 'Machy', 'date': '2022-04-15T06:21:42.220Z', 'score': 0})}",,,
"chaqcem",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is everyday/commonplace.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': '0pusJHb54', 'author': 'Laqme', 'date': '2024-06-19T14:51:11.614Z', 'score': 0})}",,,
"chaqchuı",1,"False",,,,,,"howuha","[]",,,,"informal",,,,"▯ takes place early in the day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'rr61xz88v', 'author': 'Ilmen', 'date': '2019-04-21T08:48:58.000Z', 'score': 0})}",,,
"chaqchıu",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is the date of event ▯.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'eIeLJUdlA', 'author': 'Laqme', 'date': '2024-01-10T23:46:39.994Z', 'score': 1})}",,,
"chaqdeoq",1,"False",,"c","n","ho","agent",,"[]",,,,"informal",,,,"predicate: 'chat'; ▯ (plural) make small-talk, everyday conversation, with one another.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'EhhBbNTxC', 'author': 'Dembim', 'date': '2026-02-21T16:41:11.224Z', 'score': 0})}",,,
"chaqduq",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ satisfies property ▯ every day / as a daily habit.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'o7KlXoiBL', 'author': 'Laqme', 'date': '2023-12-17T07:14:41.309Z', 'score': 0})}",,,
"chaqdıaq",1,"False",,"c","d","hoq","predicate",,"[]",,,,"informal",,,,"▯ occurs daily / every day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': '6us7v51VY', 'author': 'Laqme', 'date': '2018-12-14T03:12:08.000Z', 'score': 4})}",,,
"chaqgu",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is a two-day period.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'CGLMcDmdU', 'author': 'Laqme', 'date': '2019-01-26T18:26:48.000Z', 'score': 0})}",,,
"chaqgudıaq",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ occurs every other day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'cb1Oz87UP', 'author': 'Laqme', 'date': '2021-08-21T15:49:09.233Z', 'score': 0})}",,,
"chaqheıjo",1,"False",,,,,,,"[]",,,,"informal",,,,"(fork of #3BRrXlJdH) ▯ is a fortnight",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'M-bp58WGC', 'author': 'seaqtaq', 'date': '2019-01-26T18:48:31.000Z', 'score': 0})}",,,
"chaqhıa",1,"False",,,,,,,"[]",,,,"informal",,,,"What has ▯'s day been like? / What are ▯'s plans for the day?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'SX2cPyk5a', 'author': 'Laqme', 'date': '2024-06-07T10:46:14.488Z', 'score': 1})}",,,
"chaqjea",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ does grocery shopping.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'tm0hGD6o4', 'author': 'Laqme', 'date': '2024-07-15T15:30:56.382Z', 'score': 0})}",,,
"chaqjıa",1,"False",,,,,,,"[]",,,,"informal",,,,"tense: 'tomorrow'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'I7_pHzImU', 'author': 'Laqme', 'date': '2023-02-10T19:29:11.963Z', 'score': 0})}",,,
"chaqkue",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is a day calendar / almanac.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'EBHGuVzrJ', 'author': 'Laqme', 'date': '2021-11-19T14:38:17.595Z', 'score': 0})}",,,
"chaqmoa",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is a time of day; ▯ is a time (without a date).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': '5EgUZWB9k', 'author': 'uakci', 'date': '2021-08-25T12:52:10.231Z', 'score': 0})}",,,
"chaqmuo",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ occurs for an entire day",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'NWJy-CHY2', 'author': 'seaqtaq', 'date': '2019-05-19T18:24:16.127Z', 'score': 0})}",,,
"chaqnaı",1,"False",,,,,,,"[]",,,,"informal",,,,"tense: 'today'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'bYOXSIs1B', 'author': 'Laqme', 'date': '2023-02-10T19:29:04.258Z', 'score': 0})}",,,
"chaqne",1,"False",,,,,,"yepomo","[]",,,,"informal",,,,"▯ is the duration of a day (multiplied by ▯); ▯ is 24 hours (× ▯).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'JMJ1IruQO', 'author': 'Ilmen', 'date': '2018-10-13T12:58:12.000Z', 'score': 1})}",,,
"chaqpu",1,"False",,,,,,,"[]",,,,"informal",,,,"tense: 'yesterday'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'ByoQbGJUC', 'author': 'Laqme', 'date': '2023-02-10T19:28:36.109Z', 'score': 0})}",,,
"chaqrao",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ happens at time of day ▯; ▯ occurs on one or more days, but when it does, it’s at ▯ o’clock.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'IBwLEzUDn', 'author': 'uakci', 'date': '2021-08-25T12:51:32.165Z', 'score': 0})}",,,
"chaqraomu",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is a time of day; ▯ is a time (without a date).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'hTooiVXOx', 'author': 'uakci', 'date': '2021-08-25T12:52:04.669Z', 'score': 0})}",,,
"chaqraı",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ are groceries.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'DUoEsMH7N', 'author': 'Laqme', 'date': '2024-06-19T14:49:59.180Z', 'score': 0})}",,,
"chaqreoq",1,"False",,"c","d","hoq","free","homode","[]",,,,"informal",,,,"▯ takes place late in the day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'nhCl76LAA', 'author': 'Ilmen', 'date': '2019-04-21T08:49:17.000Z', 'score': 0})}",,,
"chaqsıao",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ are the wee/small hours of the day",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'nBhSxLlwZ', 'author': 'seaqtaq', 'date': '2024-08-06T23:02:44.811Z', 'score': 0})}",,,
"chaqtu",1,"True","predicate","c","d","hoq","proposition","cetubi","[]",,,,"informal",,,,"▯ happens every day; ▯ is daily.",,"daily",,,,,,,,,,,,,,,,,,,,,,,,,,,,"▯ zdarza się codziennie.",,,,,,,,,,,,,,,,,,"tenpo suno ale la ▯ li kama lon",,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'official:chaqtu', 'author': 'official', 'date': '', 'score': 0}), 'tok': OrderedDict({'id': 'yPyrCkARD', 'author': 'el', 'date': '2022-10-26T18:19:51.863Z', 'score': 0}), 'pol': OrderedDict({'id': 'mB94OAWc75', 'author': 'jiqci', 'date': '2023-07-31T08:19:57.391Z', 'score': 0})}",,,
"chaqtı",1,"False",,,,,,,"[]",,,,"informal",,,,"Where ▯ is, the date is ▯.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'Cipdyjdz8', 'author': 'Laqme', 'date': '2025-04-25T08:50:53.819Z', 'score': 1})}",,,
"chaqtıa",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is an afternoon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'IUOhHdK8t', 'author': 'fagri', 'date': '2020-06-22T10:07:25.889Z', 'score': 1})}",,,
"chaqzeo",1,"False",,"c","d","maq","individual",,"[]",,,,"informal",,,,"▯ is a lime",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'jAG57-5mb', 'author': 'el', 'date': '2022-11-14T23:30:47.388Z', 'score': 0})}",,,
"charaı",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is a trick / technique for satisfying property ▯.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': '-HbfDR84z', 'author': 'Laqme', 'date': '2025-02-02T00:10:46.263Z', 'score': 0})}",,,
"charıoq",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is the manner in which property ▯ is satisfied.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'ZMuEHGmTF', 'author': 'uakci', 'date': '2021-07-31T18:10:52.043Z', 'score': 0})}",,,
"charıoq",2,"False",,,,,,,"[]",,,,"informal",,,,"▯ is a mode/setting defined by satisfying property ▯",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'rdCHn9uvu', 'author': 'TheAndSys', 'date': '2024-05-03T04:31:10.315Z', 'score': 0})}",,,
"chase",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is a manner in which ▯ happens; ▯ is what ▯ is the case like.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': '87hyQNlsh', 'author': 'uakci', 'date': '2022-10-27T12:42:34.824Z', 'score': 0})}",,,
"chaso",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is tedious",,,,,,,,,,,,,,,,,,,,,"▯は面倒臭い",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'FT3OjQe2a', 'author': 'el', 'date': '2022-10-19T14:56:43.130Z', 'score': 2}), 'jpn': OrderedDict({'id': '30oTIrswN', 'author': 'el', 'date': '2022-10-19T14:56:36.382Z', 'score': 0})}",,,
"chasıa",1,"False",,,,,,,"[]",,,,"informal",,,,"There is no way ▯ would be the case.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'lk0rlPLaT', 'author': 'jiqci', 'date': '2024-07-16T16:29:01.431Z', 'score': 0})}",,,
"chasıu",1,"False",,,,,,"nusuwi","[]",,,,"informal",,,,"▯ takes place in a way similar to / reminiscent of ▯.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'N2Xg2CwKY', 'author': 'Ilmen', 'date': '2019-03-18T22:36:25.000Z', 'score': 0})}",,,
"chateı",1,"False",,"c c","d d","hoq","free",,"[]",,,,"informal",,,,"▯ is the manner/procedure/scheme/recipe by/in which ▯ happens or is done.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'kXoxo_FBV', 'author': 'uakci', 'date': '2021-09-27T15:54:19.826Z', 'score': 4})}",,,
"chateıdao",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ are instructions/directions for satisfying property ▯.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'XdtD1MD6t', 'author': 'Machy', 'date': '2022-04-23T03:03:20.813Z', 'score': 0})}",,,
